Variable,Variable Description,Units,Method Name 1,Method Name 2,Trait Ontology Identifier (TO:ID),termId,TO label,Comments/Notes,CO_324 ID,CO_324 label,Comments/Notes,coPermalink
stalk_diameter_major_axis,"Diameter of the widest axis of the stalk in the internodal area below the most recent fully developed leaf, including the true stem and leaf sheath",mm,Stalk diameter measurement,,TO:0020083,http://purl.obolibrary.org/obo/TO_0020083,stem diameter,exact,n/a,n/a,n/a,n/a
plant_basal_tiller_number,Number of basal tillers,count,Plant basal tiller number - Counting,,TO:0001004,http://purl.obolibrary.org/obo/TO_0001004,basal tiller number,exact,CO_324:0000040,sorghum plant basal tiller number trait,exact,https://www.cropontology.org/terms/CO_324:0000040/Plant%20basal%20tiller%20number/static-html?language=english
leaf_angle_chi,[missing],[missing],3D scanner to leaf angle distribution,,TO:0000206,http://purl.obolibrary.org/obo/TO_0000206,leaf angle,exact,n/a,n/a,n/a,n/a
leaf_angle_mean,[missing],normalized degrees,3D scanner to leaf angle distribution,,TO:0000206,http://purl.obolibrary.org/obo/TO_0000206,leaf angle,exact,n/a,n/a,n/a,n/a
leaf_angle_alpha,[missing],[missing],3D scanner to leaf angle distribution,,TO:0000206,http://purl.obolibrary.org/obo/TO_0000206,leaf angle,exact,n/a,n/a,n/a,n/a
leaf_angle_beta,[missing],[missing],3D scanner to leaf angle distribution,,TO:0000206,http://purl.obolibrary.org/obo/TO_0000206,leaf angle,exact,n/a,n/a,n/a,n/a
leaf_length,Length of leaf from tip to stem along the midrib,mm,MAC leaf length measurement,,TO:0000135,http://purl.obolibrary.org/obo/TO_0000135, leaf length,exact,n/a,n/a,n/a,n/a
leaf_width,Width of leaf at widest point along leaf,mm,MAC leaf width measurement,,TO:0000370,http://purl.obolibrary.org/obo/TO_0000370,leaf width,exact,n/a,n/a,n/a,n/a
anthocyanin_index,"Anthocyanin content in the leaf epidermis, expressed as a relative index",ratio,Leaf polyphenolics and chlorophyll measurements: Dualex Scientific+ leaf-clip handheld optical meter,,TO:0000071,http://purl.obolibrary.org/obo/TO_0000071,anthocyanin content,subclass,CO_324:0000214,sorghum plant anthocyanin presence trait,subclass,https://www.cropontology.org/terms/CO_324:0000214/Plant%20anthocyanin%20presence/static-html?language=english
chlorophyll_index,"Leaf chlorophyll content, expressed as a relative index",ratio,Leaf polyphenolics and chlorophyll measurements: Dualex Scientific+ leaf-clip handheld optical meter,,TO:0012002,http://purl.obolibrary.org/obo/TO_0012002,leaf chlorophyll content,subclass,n/a,n/a,n/a,n/a
grain_stage_time,Number of days from sowing to the date when grain development was observed in approximately 50% of the plants within a plot,days,Visual classification of sorghum growth stages to determine estimates of developmental timing,,TO:0000933,http://purl.obolibrary.org/obo/TO_0000933,plant phenological trait,subclass,n/a,n/a,n/a,n/a
leaf_stomatal_conductance,"Stomatal conductance is a function of the density, size, and open versus closed status of stomatal pores in the leaf.",mmol/(m² s),Leaf surface temperature and stomatal conductance estimates using hand-held instruments,,TO:0000522,http://purl.obolibrary.org/obo/TO_0000522,stomatal conductance,exact,n/a,n/a,n/a,n/a
aboveground_biomass_moisture,Whole above ground biomass moisture content,%,Whole above ground biomass moisture content,,TO:0000228,http://purl.obolibrary.org/obo/TO_0000228,moisture content trait,subclass,CO_324:0000561,sorghum whole above ground biomass moisture content trait,exact,https://www.cropontology.org/terms/CO_324:0000561/Whole%20above%20ground%20biomass%20moisture%20content/static-html?language=english
PhiNO,"Chlorophyll fluorescence-derived photosynthesis parameter, ratio of incoming light lost via non-regulated processes.",ratio,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012006,http://purl.obolibrary.org/obo/TO_0012006,fluorescence related trait,subclass,n/a,n/a,n/a,n/a
PhiNPQ,"Chlorophyll fluorescence-derived photosynthesis parameter, ratio of incoming light that goes towards non-photochemical quenching",ratio,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012006,http://purl.obolibrary.org/obo/TO_0012006,fluorescence related trait,subclass,n/a,n/a,n/a,n/a
Fs,Photosynthesis-related parameter describing variable fluorescence at steady-state conditions,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012006,http://purl.obolibrary.org/obo/TO_0012006,fluorescence related trait,subclass,n/a,n/a,n/a,n/a
